algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Block-Load-Margin-1.05,16,sat14_q_query_3_L80_coli.sat.cnf.dual.hgr,48,43,0.03,0.311549,km1,31698,5113,31406,5891,7092,5875,11,0.00272606,0.843918,0.0141697,0,0,0.407297,0.160241,0.124193
Block-Load-Margin-1.05,16,sat14_manol-pipe-c10nidw.cnf.primal.hgr,48,43,0.03,0.0977419,km1,216391,207755,200239,31530,37030,31350,4195,0.00108815,0.559276,0.00854023,0,0,0.108101,0.214087,0.158806
Block-Load-Margin-1.05,16,Hamrle3.mtx.hgr,48,43,0.03,0.0189693,km1,68461,66699,63973,31647,32634,31554,9,0.00308746,0.715984,0.0132291,0,0,0.187682,0.0878758,0.296526
Block-Load-Margin-1.05,16,sat14_6s10.cnf.hgr,48,43,0.03,0.115357,km1,23403,22184,23157,3299,4303,2110,1326,0.000833474,0.164016,0.00249971,0,0,0.019949,0.106344,0.0263557
Block-Load-Margin-1.05,16,Dubcova2.mtx.hgr,48,43,0.03,0.0708487,km1,14993,13639,13816,1675,1758,1659,25,0.000180661,0.132776,0.00182006,0,0,0.0328289,0.0654084,0.0230959
Block-Load-Margin-1.05,16,sat14_11pipe_k.cnf.primal.hgr,48,43,0.03,0.488447,km1,5805538,4607146,4769111,246936,1236967,228152,57073,0.0460631,5.37626,0.837274,0,0,0.967627,1.85306,0.913822
Block-Load-Margin-1.05,16,sat14_MD5-30-4.cnf.dual.hgr,48,43,0.03,0.111346,km1,4373,2619,4224,277,344,275,6,0.000129551,0.0967947,0.00595838,0,0,0.0172263,0.0536274,0.013052
Block-Load-Margin-1.05,16,sat14_SAT_dat.k80-24_1_rule_1.cnf.hgr,48,43,0.03,0.059026,km1,127697,126779,111927,108719,112603,108269,302,0.00563898,1.5677,0.0271614,0,0,0.431392,0.129812,0.690667
Block-Load-Margin-1.05,16,sat14_post-cbmc-aes-ee-r2-noholes.cnf.primal.hgr,48,43,0.03,0.368734,km1,137329,129612,105904,35806,42626,35621,1548,0.000604582,0.465358,0.0088237,0,0,0.0887797,0.160407,0.143171
Block-Load-Margin-1.05,16,ISPD98_ibm15.hgr,48,43,0.03,0.155628,km1,37770,29530,34141,4691,5908,4662,306,0.000816193,0.299062,0.00526306,0,0,0.0487186,0.163199,0.058359
Block-Load-Margin-1.05,16,Emilia_923.mtx.hgr,48,43,0.03,0.11902,km1,387762,322575,368457,27399,30495,27258,57,0.0021793,1.45839,0.0119392,0,0,0.659008,0.211762,0.432592
Block-Load-Margin-1.05,16,atmosmodj.mtx.hgr,48,43,0.03,0.0517606,km1,274334,255571,260644,32293,34945,32126,7,0.00275326,0.958786,0.0147859,0,0,0.26831,0.163977,0.367772
Block-Load-Margin-1.05,16,sat14_SAT_dat.k100-24_1_rule_2.cnf.hgr,48,43,0.03,0.030024,km1,116891,115905,97790,135384,141632,134617,302,0.00701053,1.94965,0.0304569,0,0,0.534555,0.122548,0.905887
Block-Load-Margin-1.05,16,sat14_MD5-28-2.cnf.primal.hgr,48,43,0.03,0.16763,km1,22267,18655,21011,1774,1982,1757,100,4.01e-05,0.0729446,0.00190922,0,0,0.00444335,0.0511071,0.0135853
Block-Load-Margin-1.05,16,ISPD98_ibm12.hgr,48,43,0.03,0.272113,km1,25812,20997,23501,2155,3124,2140,473,0.000299361,0.196285,0.00408681,0,0,0.0243308,0.12845,0.0276122
Block-Load-Margin-1.05,16,sat14_6s133.cnf.hgr,48,43,0.03,0.143853,km1,32620,30975,30792,3630,4725,3606,1456,0.00020886,0.19204,0.00323216,0,0,0.0267443,0.117319,0.0315183
Block-Load-Margin-1.05,16,sat14_q_query_3_L150_coli.sat.cnf.dual.hgr,48,43,0.03,0.408855,km1,53343,7555,54185,11270,12753,11249,11,0.00641833,2.21672,0.0316095,0,0,1.44695,0.210838,0.246826
