algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,48,68,0.03,0.498494,km1,262105,44684,261884,9372,9585,9283,142,0.00154956,1.07993,0.00889283,0,0,0.636083,0.183496,0.134547
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,48,68,0.03,0.191686,km1,215343,40361,215432,7920,8077,7856,142,0.000818083,0.768949,0.00541779,0,0,0.42201,0.157829,0.111077
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,48,68,0.03,0.146939,km1,174970,31769,174906,5751,5820,5698,142,0.000270681,0.441843,0.00326109,0,0,0.212061,0.130636,0.0571865
Judicious-Increase,16,0-part_59-s.repeats.hgr,160,122,0.03,0,km1,0,0,0,57,57,57,57,0,7.9e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,160,122,0.03,5.07143,km1,13687,1847,13717,165,175,125,57,8.068e-05,0.0615788,0.00115747,0,0,0.000946393,0.0505819,0.00637732
Judicious-Increase,16,0-part_128-0.repeats.hgr,160,122,0.03,5.66667,km1,27085,2355,27103,290,297,184,126,0.00019822,0.0413999,0.000845752,0,0,0.000703482,0.0304385,0.00706414
Judicious-Increase,16,0-part_128-s.repeats.hgr,160,122,0.03,2.5,km1,16470,570,16470,126,126,0,126,0.00016633,0.0114764,0.00019243,0,0,0.000265441,0.00764168,0.00237954
Judicious-Increase,16,0-part_128-l.repeats.hgr,160,122,0.03,1.68421,km1,45651,4052,45600,483,514,394,126,0.00023742,0.170127,0.000647232,0,0,0.00107787,0.142151,0.015504
Judicious-Increase,16,0-part_404-s.repeats.hgr,160,122,0.03,15.25,km1,62304,1047,62448,433,458,402,402,0.000566762,0.101211,0.00330102,0,0,0.00028599,0.0698848,0.0190473
Judicious-Increase,16,0-part_404-l.repeats.hgr,160,122,0.03,6.78571,km1,89603,6820,89407,879,930,716,402,0.000455842,0.318174,0.00580477,0,0,0.00164223,0.250563,0.0349306
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,160,122,0.03,0.86985,km1,619373,59547,618035,5123,5530,5076,142,0.00228454,5.12959,0.061858,0,0,1.61989,1.4074,0.810913
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,160,122,0.03,0.275,km1,433511,52349,432757,3880,3997,3845,142,0.000980482,1.89709,0.0318878,0,0,0.491558,0.999854,0.136806
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,160,122,0.03,0.130769,km1,363897,46653,363176,3316,3403,3256,142,0.000699922,1.28688,0.0173881,0,0,0.178939,0.836464,0.0965837
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,160,122,0.03,0.405405,km1,288382,35927,288412,2438,2501,2406,142,0.00026543,0.916414,0.0268323,0,0,0.0603215,0.692849,0.0588358
Judicious-Increase,16,0-part_59-s.repeats.hgr,160,55,0.03,0,km1,0,0,0,57,57,57,57,0,3.5e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,160,55,0.03,4.85714,km1,12824,1795,12852,168,170,119,57,0.00018804,0.059283,0.000600292,0,0,0.000927663,0.0489661,0.00640275
Judicious-Increase,16,0-part_128-0.repeats.hgr,160,55,0.03,6.5,km1,28074,2358,28142,298,307,197,126,0.00020575,0.04002,0.00113345,0,0,0.000553612,0.0293172,0.00663196
Judicious-Increase,16,0-part_128-s.repeats.hgr,160,55,0.03,3.5,km1,17730,588,17730,126,126,0,126,0.000164501,0.0116557,0.000188611,0,0,7.559e-05,0.0076768,0.00272954
Judicious-Increase,16,0-part_128-l.repeats.hgr,160,55,0.03,1.26316,km1,46613,4303,46777,452,523,410,126,0.00017556,0.180232,0.00824975,0,0,0.00114286,0.14503,0.0154742
Judicious-Increase,16,0-part_404-s.repeats.hgr,160,55,0.03,15,km1,62616,1039,62750,453,486,402,402,0.000601532,0.10115,0.00174605,0,0,0.000760892,0.0718758,0.0183105
Judicious-Increase,16,0-part_404-l.repeats.hgr,160,55,0.03,6.57143,km1,87617,6745,87492,873,926,691,402,0.000787311,0.323874,0.00586207,0,0,0.00163174,0.252302,0.0391956
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,160,55,0.03,1.13109,km1,635814,58305,633612,5227,5509,5177,142,0.00290989,5.69516,0.0874821,0,0,2.01683,1.42965,0.759145
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,160,55,0.03,0.535,km1,443324,52557,443450,3947,4055,3909,142,0.000555031,1.95019,0.0151692,0,0,0.48562,1.03037,0.17911
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,160,55,0.03,0.292308,km1,372623,46731,372057,3364,3455,3331,142,0.000557111,1.29783,0.0230543,0,0,0.1744,0.850748,0.0875969
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,160,55,0.03,0.283784,km1,288351,36061,288311,2437,2491,2398,142,0.000379641,0.913101,0.0126518,0,0,0.0598432,0.695111,0.0680002
Judicious-Increase,16,0-part_59-s.repeats.hgr,160,10,0.03,0,km1,0,0,0,57,57,57,57,0,2.91e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,160,10,0.03,5.64286,km1,12428,1736,12429,161,167,115,57,6.217e-05,0.0588615,0.000663622,0,0,0.000511472,0.0481064,0.00715326
Judicious-Increase,16,0-part_128-0.repeats.hgr,160,10,0.03,5,km1,27350,2364,27534,279,298,180,126,0.000134591,0.0426541,0.00178433,0,0,0.000520432,0.0309336,0.00688834
Judicious-Increase,16,0-part_128-s.repeats.hgr,160,10,0.03,3,km1,17100,593,17100,126,126,0,126,0.000169481,0.0114125,0.000193361,0,0,0.000128461,0.00784592,0.00223985
Judicious-Increase,16,0-part_128-l.repeats.hgr,160,10,0.03,1.47368,km1,46473,4155,46346,463,519,398,126,0.0001963,0.178258,0.00451403,0,0,0.00115207,0.144583,0.0175195
Judicious-Increase,16,0-part_404-s.repeats.hgr,160,10,0.03,14.5,km1,62075,1048,62394,428,460,402,402,0.000582021,0.111709,0.0134123,0,0,0.00017958,0.0704472,0.0191578
Judicious-Increase,16,0-part_404-l.repeats.hgr,160,10,0.03,7.57143,km1,87620,6695,87576,885,938,684,402,0.000731632,0.323792,0.00574853,0,0,0.00147829,0.251556,0.0404519
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,160,10,0.03,0.590824,km1,593547,59783,586294,4962,5324,4920,142,0.00333408,4.98911,0.0798403,0,0,1.60676,1.34905,0.763578
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,160,10,0.03,0.355,km1,433675,52307,433641,3879,4006,3847,142,0.000859932,1.90572,0.0348061,0,0,0.487066,1.0027,0.145976
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,160,10,0.03,0.307692,km1,364931,46917,364624,3314,3416,3282,142,0.000501532,1.28368,0.0275124,0,0,0.176957,0.83437,0.086109
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,160,10,0.03,0.378378,km1,287687,35961,287533,2433,2490,2398,142,0.000284221,0.899775,0.0139978,0,0,0.0590872,0.692039,0.0566775
Judicious-Increase,16,0-part_59-s.repeats.hgr,256,98,0.03,0,km1,0,0,0,57,57,57,57,0,3.1e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,256,98,0.03,8.33333,km1,18205,1995,18256,128,139,88,57,0.00017302,0.0940201,0.00340193,0,0,0.0013087,0.078861,0.00685246
Judicious-Increase,16,0-part_128-0.repeats.hgr,256,98,0.03,6.25,km1,37263,2385,37411,248,254,135,126,0.00031221,0.0596186,0.000953522,0,0,0.00141173,0.0477397,0.00599422
Judicious-Increase,16,0-part_128-s.repeats.hgr,256,98,0.03,0,km1,0,0,0,126,126,126,126,0,4.31e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_128-l.repeats.hgr,256,98,0.03,1.83333,km1,61141,4428,61216,380,417,286,126,0.000253991,0.256961,0.00405492,0,0,0.0014597,0.219499,0.0159263
Judicious-Increase,16,0-part_404-s.repeats.hgr,256,98,0.03,12.6667,km1,84307,1048,84307,402,402,0,402,0.00196417,0.124572,0.00202005,0,0,0.000406371,0.0918151,0.0187529
Judicious-Increase,16,0-part_404-l.repeats.hgr,256,98,0.03,10.6667,km1,126653,7269,126694,775,801,537,402,0.00102263,0.45974,0.00335021,0,0,0.00193953,0.38096,0.0353387
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,256,98,0.03,1.18862,km1,773293,62016,765691,3807,4102,3772,142,0.00877966,7.581,0.165487,0,0,1.67566,2.96034,0.856825
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,256,98,0.03,0.384,km1,505953,54811,505789,2710,2814,2688,142,0.00114144,2.64401,0.0748586,0,0,0.220284,1.93694,0.142146
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,256,98,0.03,0.268293,km1,438700,50184,438913,2360,2430,2334,142,0.000425691,2.20334,0.0536385,0,0,0.111528,1.76693,0.0839719
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,256,98,0.03,0.282609,km1,337377,38524,337372,1727,1750,1680,142,0.000183121,1.83632,0.00801863,0,0,0.00557243,1.68958,0.0564791
Judicious-Increase,16,0-part_59-s.repeats.hgr,256,9,0.03,0,km1,0,0,0,57,57,57,57,0,5.2e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,256,9,0.03,8.44444,km1,17659,1938,17686,129,137,84,57,0.00012848,0.0938525,0.0020265,0,0,0.00130209,0.0797627,0.00698365
Judicious-Increase,16,0-part_128-0.repeats.hgr,256,9,0.03,7.25,km1,36910,2397,37118,232,249,126,126,0.000261411,0.0597467,0.00234328,0,0,0.00141652,0.04597,0.00659316
Judicious-Increase,16,0-part_128-s.repeats.hgr,256,9,0.03,0,km1,0,0,0,126,126,126,126,0,3.89e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_128-l.repeats.hgr,256,9,0.03,1.75,km1,61803,4449,61810,360,415,306,126,0.000324321,0.262406,0.00595118,0,0,0.00135231,0.222406,0.0171148
Judicious-Increase,16,0-part_404-s.repeats.hgr,256,9,0.03,17,km1,85111,1069,85111,402,402,0,402,0.00196828,0.124289,0.00201539,0,0,0.00022608,0.0906717,0.0198147
Judicious-Increase,16,0-part_404-l.repeats.hgr,256,9,0.03,10.3333,km1,127449,7271,127476,779,800,552,402,0.000606072,0.454466,0.00221984,0,0,0.00183479,0.380912,0.0309934
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,256,9,0.03,0.862275,km1,763450,62845,760327,3766,3965,3729,142,0.00165069,7.35743,0.0894472,0,0,1.68528,2.88382,0.82772
