algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Penalty,16,0-part_sm_part12_20753.repeats.hgr,48,98,0.03,0.468822,km1,244730,40741,120,8541,163492,8467,142,0.527014,1.1607,0.5341,0,0,0.426507,0.0381017,0.0915765
Penalty,16,0-part_sm_part24_11756.repeats.hgr,48,98,0.03,0.314286,km1,192540,32012,125,6104,99696,6054,142,0.442692,0.787893,0.453193,0,0,0.211474,0.0296229,0.0598838
Judicious-Increase,16,0-part_59-s.repeats.hgr,48,41,0.03,3.25,km1,2200,236,2271,83,106,57,57,2.761e-05,0.00336315,0.000128251,0,0,6.8481e-05,0.001379,0.00143623
Judicious-Increase,16,0-part_59-l.repeats.hgr,48,41,0.03,1.63043,km1,6252,1509,6291,355,369,323,57,3.91e-05,0.0278988,0.000579882,0,0,0.000390492,0.018598,0.00710651
Judicious-Increase,16,0-part_128-0.repeats.hgr,48,41,0.03,3.72222,km1,14232,2255,14271,552,571,481,126,0.00012242,0.0217424,0.000771092,0,0,0.00014339,0.0138147,0.0057585
Judicious-Increase,16,0-part_128-s.repeats.hgr,48,41,0.03,2.2,km1,5757,504,5742,174,178,126,126,3.896e-05,0.00615989,0.000226,0,0,8.552e-05,0.00301546,0.00225566
Judicious-Increase,16,0-part_128-l.repeats.hgr,48,41,0.03,0.532258,km1,25496,3949,25937,1030,1171,1015,126,0.00011533,0.0703547,0.00426678,0,0,0.0104897,0.0339061,0.0153449
Judicious-Increase,16,0-part_404-s.repeats.hgr,48,41,0.03,4.07692,km1,19710,1027,19731,521,525,402,402,0.00019424,0.0495488,0.000374361,0,0,0.00013799,0.0276152,0.0184224
Judicious-Increase,16,0-part_404-l.repeats.hgr,48,41,0.03,2.02174,km1,39377,5997,39714,1694,1756,1617,402,0.000467552,0.146539,0.00304578,0,0,0.000601201,0.0933819,0.0398115
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,48,41,0.03,0.598034,km1,363328,53292,363946,11713,12159,11612,142,0.00516871,3.3101,0.0177568,0,0,1.82155,0.248751,0.710363
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,48,41,0.03,0.204819,km1,247956,44307,247740,9072,9248,8989,142,0.000659252,0.966872,0.00865222,0,0,0.545898,0.178204,0.132756
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,48,41,0.03,0.189376,km1,224453,40689,224404,8116,8280,8043,142,0.00032852,0.754334,0.00580552,0,0,0.419469,0.160998,0.0948042
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,48,41,0.03,0.142857,km1,175086,31753,175155,5747,5815,5697,142,0.000286801,0.440088,0.00353406,0,0,0.21222,0.130639,0.0555534
Block-Load,16,0-part_59-s.repeats.hgr,48,41,0.03,3.75,km1,2286,242,3001,87,110,57,57,7.165e-05,0.00457458,0.00113942,0,0,7.899e-05,0.00142375,0.00154904
Block-Load,16,0-part_59-l.repeats.hgr,48,41,0.03,1.36957,km1,6931,1798,6982,368,388,335,57,7.6511e-05,0.030376,0.00204149,0,0,0.000392441,0.0188547,0.00788604
Block-Load,16,0-part_128-0.repeats.hgr,48,41,0.03,1.88889,km1,14640,2335,14770,545,601,504,126,5.999e-05,0.0245245,0.00146184,0,0,0.000259621,0.0143567,0.00672611
Block-Load,16,0-part_128-s.repeats.hgr,48,41,0.03,3,km1,5741,521,6657,161,221,126,126,6.137e-05,0.00876182,0.00173931,0,0,7.485e-05,0.00337872,0.00289197
Block-Load,16,0-part_128-l.repeats.hgr,48,41,0.03,0.451613,km1,26012,3972,26608,1041,1208,1018,126,0.00011257,0.0702338,0.00336755,0,0,0.0103969,0.0336174,0.0164088
Block-Load,16,0-part_404-s.repeats.hgr,48,41,0.03,3.61538,km1,19917,1063,21262,495,586,402,402,0.000388481,0.0578701,0.00640069,0,0,0.00016335,0.028773,0.0191481
Block-Load,16,0-part_404-l.repeats.hgr,48,41,0.03,2.04348,km1,41792,6634,43423,1739,1922,1683,402,0.000404301,0.155944,0.0100983,0,0,0.000604972,0.0953994,0.0401331
Block-Load,16,0-part_sm_part1_170859.repeats.hgr,48,41,0.03,0.570787,km1,356875,54038,366102,11577,12332,11499,142,0.00127506,3.52043,0.0278546,0,0,1.82237,0.242415,0.920553
Block-Load,16,0-part_sm_part3_31854.repeats.hgr,48,41,0.03,0.439759,km1,255675,44483,255834,9228,9590,9158,142,0.000563672,1.07703,0.00988022,0,0,0.641532,0.176753,0.134961
Block-Load,16,0-part_sm_part12_20753.repeats.hgr,48,41,0.03,0.364896,km1,235951,40777,236560,8357,8555,8287,142,0.000735492,0.763325,0.00731268,0,0,0.421504,0.166986,0.0922478
Block-Load,16,0-part_sm_part24_11756.repeats.hgr,48,41,0.03,0.293878,km1,179216,31738,180078,5833,5986,5787,142,0.000289251,0.455745,0.00577163,0,0,0.210055,0.134502,0.0667101
Penalty,16,0-part_59-s.repeats.hgr,48,41,0.03,8.75,km1,2103,211,57,71,671,57,57,0.0019647,0.00586824,0.0034367,0,0,7.4921e-05,0.000670772,0.00138673
Penalty,16,0-part_59-l.repeats.hgr,48,41,0.03,4,km1,8173,2110,57,390,10205,362,57,0.0531214,0.0766265,0.0583101,0,0,0.000391351,0.0104108,0.00679045
Penalty,16,0-part_128-0.repeats.hgr,48,41,0.03,5.27778,km1,16084,2299,126,579,10853,533,126,0.037102,0.0525746,0.0388111,0,0,0.000242531,0.00648475,0.00643396
Penalty,16,0-part_128-s.repeats.hgr,48,41,0.03,7.6,km1,5384,495,126,156,1170,126,126,0.00646481,0.0108946,0.00685454,0,0,9.09e-05,0.0010539,0.0025808
Penalty,16,0-part_128-l.repeats.hgr,48,41,0.03,0.677419,km1,29657,4237,119,1114,23611,1098,126,0.12346,0.172127,0.128155,0,0,0.010575,0.0107924,0.0173496
Penalty,16,0-part_404-s.repeats.hgr,48,41,0.03,12.5385,km1,18532,1016,402,468,2525,402,402,0.0692005,0.0999087,0.0737757,0,0,0.00016596,0.0065748,0.0185177
Penalty,16,0-part_404-l.repeats.hgr,48,41,0.03,5.78261,km1,44986,7440,388,1804,40634,1744,402,0.284648,0.351349,0.288688,0,0,0.000656852,0.0278054,0.0323429
Penalty,16,0-part_sm_part1_170859.repeats.hgr,48,41,0.03,1.86461,km1,378947,52825,122,12027,196816,11948,142,0.712532,4.28934,0.724741,0,0,1.96876,0.0562483,0.973134
Penalty,16,0-part_sm_part3_31854.repeats.hgr,48,41,0.03,0.728916,km1,273418,44773,191,9603,185656,9526,142,0.559169,1.51206,0.565614,0,0,0.636956,0.0420339,0.153542
Penalty,16,0-part_sm_part12_20753.repeats.hgr,48,41,0.03,0.531178,km1,238793,40857,122,8413,163494,8338,142,0.513625,1.14674,0.531602,0,0,0.4235,0.0374797,0.0856514
Penalty,16,0-part_sm_part24_11756.repeats.hgr,48,41,0.03,0.371429,km1,194059,31941,125,6142,99696,6098,142,0.446588,0.788514,0.453227,0,0,0.210647,0.0287221,0.0621351
Judicious-Increase,16,0-part_59-s.repeats.hgr,48,68,0.03,3,km1,2205,232,2205,85,85,57,57,2.077e-05,0.00492987,0.00137398,0,0,9.7451e-05,0.00136079,0.0015342
Judicious-Increase,16,0-part_59-l.repeats.hgr,48,68,0.03,1.58696,km1,6346,1470,6341,360,366,313,57,0.000164171,0.029101,0.000513242,0,0,0.000395221,0.0193537,0.00760294
Judicious-Increase,16,0-part_128-0.repeats.hgr,48,68,0.03,4,km1,14442,2239,14456,560,600,487,126,7.599e-05,0.0220075,0.000689831,0,0,0.000148441,0.0132235,0.00672776
Judicious-Increase,16,0-part_128-s.repeats.hgr,48,68,0.03,3.2,km1,5626,518,5705,162,182,126,126,8.9521e-05,0.00670345,0.000396821,0,0,8.147e-05,0.00295882,0.00261557
Judicious-Increase,16,0-part_128-l.repeats.hgr,48,68,0.03,0.564516,km1,25277,3932,25354,1026,1158,999,126,0.00018187,0.0726233,0.00762381,0,0,0.0106004,0.0332273,0.0148607
Judicious-Increase,16,0-part_404-s.repeats.hgr,48,68,0.03,4.23077,km1,19636,1017,19789,507,543,412,402,0.00027315,0.0522812,0.00141784,0,0,0.00015242,0.0283008,0.0192672
Judicious-Increase,16,0-part_404-l.repeats.hgr,48,68,0.03,2.21739,km1,41842,6103,42050,1767,1831,1633,402,0.000443011,0.143514,0.00360388,0,0,0.00116993,0.0959175,0.0329422
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,48,68,0.03,0.505899,km1,355871,53485,354670,11567,12061,11479,142,0.00138533,3.40637,0.0210138,0,0,1.82677,0.24053,0.820243
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,48,68,0.03,0.498494,km1,262105,44684,261884,9372,9585,9283,142,0.00154956,1.07993,0.00889283,0,0,0.636083,0.183496,0.134547
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,48,68,0.03,0.191686,km1,215343,40361,215432,7920,8077,7856,142,0.000818083,0.768949,0.00541779,0,0,0.42201,0.157829,0.111077
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,48,68,0.03,0.146939,km1,174970,31769,174906,5751,5820,5698,142,0.000270681,0.441843,0.00326109,0,0,0.212061,0.130636,0.0571865
Block-Load,16,0-part_59-s.repeats.hgr,48,68,0.03,4.75,km1,2130,236,2689,69,110,57,57,4.196e-05,0.00545085,0.00224855,0,0,7.935e-05,0.00137138,0.00137652
Block-Load,16,0-part_59-l.repeats.hgr,48,68,0.03,1.63043,km1,7447,1899,7524,378,396,348,57,8.714e-05,0.0279982,0.000647802,0,0,0.000398141,0.0190936,0.0065588
Block-Load,16,0-part_128-0.repeats.hgr,48,68,0.03,2.05556,km1,15038,2344,16561,554,634,472,126,0.000162161,0.025218,0.00356079,0,0,0.00013147,0.013668,0.00657511
Block-Load,16,0-part_128-s.repeats.hgr,48,68,0.03,2.2,km1,6050,559,6848,168,224,126,126,4.951e-05,0.00917097,0.00277239,0,0,7.512e-05,0.00322379,0.00254681
Block-Load,16,0-part_128-l.repeats.hgr,48,68,0.03,0.580645,km1,25494,4007,25835,1054,1157,949,126,0.00014128,0.0657679,0.0020747,0,0,0.0100513,0.0324997,0.0147868
Block-Load,16,0-part_404-s.repeats.hgr,48,68,0.03,4.38462,km1,19812,1096,21551,497,582,402,402,0.000365791,0.0582209,0.00720597,0,0,0.00013717,0.0294415,0.0181736
Block-Load,16,0-part_404-l.repeats.hgr,48,68,0.03,2,km1,45266,6984,46750,1812,1954,1740,402,0.000413852,0.147005,0.00552312,0,0,0.000643851,0.0970486,0.033915
Block-Load,16,0-part_sm_part1_170859.repeats.hgr,48,68,0.03,0.711798,km1,351712,53852,357904,11471,12402,11384,142,0.00327858,3.28178,0.0261159,0,0,1.81326,0.239323,0.718952
Block-Load,16,0-part_sm_part3_31854.repeats.hgr,48,68,0.03,0.471386,km1,262371,44725,263899,9369,9732,9296,142,0.000670242,1.07742,0.00872594,0,0,0.632965,0.183154,0.135371
Block-Load,16,0-part_sm_part12_20753.repeats.hgr,48,68,0.03,0.413395,km1,231483,40682,232603,8267,8506,8188,142,0.000928822,0.773343,0.00866823,0,0,0.42592,0.169123,0.0946599
Block-Load,16,0-part_sm_part24_11756.repeats.hgr,48,68,0.03,0.297959,km1,183369,31862,183731,5919,6044,5881,142,0.00033871,0.446956,0.00517103,0,0,0.210439,0.135056,0.0573329
Penalty,16,0-part_59-s.repeats.hgr,48,68,0.03,8.75,km1,2103,211,36,71,650,57,57,0.00192611,0.00579628,0.0033651,0,0,8.3811e-05,0.000631271,0.00141814
Penalty,16,0-part_59-l.repeats.hgr,48,68,0.03,4,km1,8307,2150,57,395,10205,369,57,0.0530936,0.0730952,0.0550621,0,0,0.000190771,0.0108117,0.00636275
Penalty,16,0-part_128-0.repeats.hgr,48,68,0.03,4.94444,km1,15456,2291,89,574,10816,514,126,0.0367296,0.0508617,0.0378366,0,0,0.000135211,0.00594728,0.00637633
Penalty,16,0-part_128-s.repeats.hgr,48,68,0.03,7.6,km1,5384,495,126,156,1170,126,126,0.00650714,0.0112031,0.00696693,0,0,9.652e-05,0.00121316,0.00256243
Penalty,16,0-part_128-l.repeats.hgr,48,68,0.03,1.06452,km1,30004,4211,121,1121,23613,1108,126,0.128019,0.170999,0.131069,0,0,0.0101166,0.0107477,0.013982
Penalty,16,0-part_404-s.repeats.hgr,48,68,0.03,12.5385,km1,18537,1015,402,468,2525,402,402,0.0695723,0.102436,0.0764732,0,0,0.000162401,0.00684884,0.0183207
Penalty,16,0-part_404-l.repeats.hgr,48,68,0.03,8.02174,km1,43937,6902,396,1781,40642,1719,402,0.283864,0.361892,0.29191,0,0,0.000379372,0.0279523,0.0395515
Penalty,16,0-part_sm_part1_170859.repeats.hgr,48,68,0.03,1.11292,km1,340151,53680,142,11230,196836,11137,142,0.646208,3.88077,0.663748,0,0,1.83442,0.0547046,0.83596
Penalty,16,0-part_sm_part3_31854.repeats.hgr,48,68,0.03,0.703313,km1,272534,43130,125,9589,185645,9509,142,0.577409,1.50971,0.586326,0,0,0.634163,0.0412767,0.130825
Penalty,16,0-part_sm_part12_20753.repeats.hgr,48,68,0.03,0.321016,km1,235063,40790,117,8331,163489,8265,142,0.510081,1.13758,0.518747,0,0,0.420312,0.0367848,0.0946911
Penalty,16,0-part_sm_part24_11756.repeats.hgr,48,68,0.03,0.493878,km1,199283,31986,125,6255,99696,6197,142,0.457034,0.800447,0.460404,0,0,0.21166,0.0282344,0.0660679
Judicious-Increase,16,0-part_59-s.repeats.hgr,160,122,0.03,0,km1,0,0,0,57,57,57,57,0,7.9e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,160,122,0.03,5.07143,km1,13687,1847,13717,165,175,125,57,8.068e-05,0.0615788,0.00115747,0,0,0.000946393,0.0505819,0.00637732
Judicious-Increase,16,0-part_128-0.repeats.hgr,160,122,0.03,5.66667,km1,27085,2355,27103,290,297,184,126,0.00019822,0.0413999,0.000845752,0,0,0.000703482,0.0304385,0.00706414
Judicious-Increase,16,0-part_128-s.repeats.hgr,160,122,0.03,2.5,km1,16470,570,16470,126,126,0,126,0.00016633,0.0114764,0.00019243,0,0,0.000265441,0.00764168,0.00237954
Judicious-Increase,16,0-part_128-l.repeats.hgr,160,122,0.03,1.68421,km1,45651,4052,45600,483,514,394,126,0.00023742,0.170127,0.000647232,0,0,0.00107787,0.142151,0.015504
Judicious-Increase,16,0-part_404-s.repeats.hgr,160,122,0.03,15.25,km1,62304,1047,62448,433,458,402,402,0.000566762,0.101211,0.00330102,0,0,0.00028599,0.0698848,0.0190473
Judicious-Increase,16,0-part_404-l.repeats.hgr,160,122,0.03,6.78571,km1,89603,6820,89407,879,930,716,402,0.000455842,0.318174,0.00580477,0,0,0.00164223,0.250563,0.0349306
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,160,122,0.03,0.86985,km1,619373,59547,618035,5123,5530,5076,142,0.00228454,5.12959,0.061858,0,0,1.61989,1.4074,0.810913
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,160,122,0.03,0.275,km1,433511,52349,432757,3880,3997,3845,142,0.000980482,1.89709,0.0318878,0,0,0.491558,0.999854,0.136806
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,160,122,0.03,0.130769,km1,363897,46653,363176,3316,3403,3256,142,0.000699922,1.28688,0.0173881,0,0,0.178939,0.836464,0.0965837
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,160,122,0.03,0.405405,km1,288382,35927,288412,2438,2501,2406,142,0.00026543,0.916414,0.0268323,0,0,0.0603215,0.692849,0.0588358
Block-Load,16,0-part_59-s.repeats.hgr,160,122,0.03,0,km1,0,0,0,57,57,57,57,0,3.29e-07,0,0,0,0,0,0
Block-Load,16,0-part_59-l.repeats.hgr,160,122,0.03,4.85714,km1,16058,2262,17035,172,205,148,57,0.00012162,0.0700922,0.00569277,0,0,0.000936602,0.0530449,0.00773059
Block-Load,16,0-part_128-0.repeats.hgr,160,122,0.03,4.66667,km1,29060,2443,29496,281,326,208,126,0.000165451,0.0446306,0.00273635,0,0,0.000359281,0.032105,0.00684423
Block-Load,16,0-part_128-s.repeats.hgr,160,122,0.03,2,km1,19116,594,19915,139,202,126,126,7.07e-05,0.0187501,0.00611608,0,0,0.00013332,0.00874646,0.00272724
Block-Load,16,0-part_128-l.repeats.hgr,160,122,0.03,1.31579,km1,47544,4267,48418,477,542,409,126,0.000303451,0.181052,0.00745025,0,0,0.00144006,0.144045,0.0172881
Block-Load,16,0-part_404-s.repeats.hgr,160,122,0.03,13.75,km1,63281,1058,67873,453,548,402,402,0.000641422,0.192574,0.0834233,0,0,0.000298931,0.0814881,0.0183683
Block-Load,16,0-part_404-l.repeats.hgr,160,122,0.03,6.35714,km1,97017,8165,98755,967,1035,726,402,0.000904142,0.324949,0.00709259,0,0,0.00161114,0.256984,0.0334281
Block-Load,16,0-part_sm_part1_170859.repeats.hgr,160,122,0.03,0.691948,km1,637115,59045,647681,5238,5721,5190,142,0.00165839,5.06033,0.0731567,0,0,1.59308,1.42513,0.715544
Block-Load,16,0-part_sm_part3_31854.repeats.hgr,160,122,0.03,0.475,km1,445788,52157,447109,3962,4089,3923,142,0.000745932,1.93411,0.0202678,0,0,0.480986,1.03594,0.15608
Block-Load,16,0-part_sm_part12_20753.repeats.hgr,160,122,0.03,0.3,km1,382803,46965,383911,3426,3560,3393,142,0.000442011,1.32459,0.0202979,0,0,0.176807,0.862521,0.0992139
Block-Load,16,0-part_sm_part24_11756.repeats.hgr,160,122,0.03,0.472973,km1,291906,35922,292590,2457,2551,2433,142,0.000317101,0.919085,0.0257951,0,0,0.0601754,0.699107,0.0556559
Penalty,16,0-part_59-s.repeats.hgr,160,122,0.03,0,km1,0,0,0,57,57,57,57,0,3.1e-07,0,0,0,0,0,0
Penalty,16,0-part_59-l.repeats.hgr,160,122,0.03,12.6429,km1,14297,2111,57,169,10205,126,57,0.192054,0.232044,0.19684,0,0,0.000965013,0.0268585,0.00628418
Penalty,16,0-part_128-0.repeats.hgr,160,122,0.03,13.3333,km1,28227,2370,113,284,10840,191,126,0.0949879,0.116137,0.0958883,0,0,0.000518241,0.0120552,0.00680345
Penalty,16,0-part_128-s.repeats.hgr,160,122,0.03,11,km1,18990,597,126,126,1170,126,126,0.0197119,0.0257318,0.0202309,0,0,0.00012708,0.00210853,0.00254632
Penalty,16,0-part_128-l.repeats.hgr,160,122,0.03,1.84211,km1,52651,4576,120,492,23612,450,126,0.658208,0.727474,0.667111,0,0,0.00112509,0.0416239,0.0156973
Penalty,16,0-part_404-s.repeats.hgr,160,122,0.03,38.75,km1,61963,1061,402,423,2525,402,402,0.205132,0.243212,0.21249,0,0,0.000315141,0.0108264,0.0187896
Penalty,16,0-part_404-l.repeats.hgr,160,122,0.03,16.7857,km1,94916,7606,402,895,40648,760,402,0.812271,0.910277,0.824971,0,0,0.00155406,0.0470744,0.0336423
Penalty,16,0-part_sm_part1_170859.repeats.hgr,160,122,0.03,5.81086,km1,704370,59634,142,5656,196836,5607,142,6.30651,10.3382,6.33378,0,0,1.58159,0.244973,0.737871
Penalty,16,0-part_sm_part3_31854.repeats.hgr,160,122,0.03,1.425,km1,510530,53025,140,4370,185660,4335,142,5.56662,6.62971,5.57864,0,0,0.481102,0.192185,0.153224
Penalty,16,0-part_sm_part12_20753.repeats.hgr,160,122,0.03,0.830769,km1,426769,47249,131,3704,163503,3668,142,4.85786,5.47878,4.88976,0,0,0.174629,0.165461,0.0984376
Penalty,16,0-part_sm_part24_11756.repeats.hgr,160,122,0.03,0.864865,km1,327297,36292,136,2678,99707,2650,142,4.18678,4.52835,4.20105,0,0,0.0585667,0.148094,0.0589655
Judicious-Increase,16,0-part_59-s.repeats.hgr,160,55,0.03,0,km1,0,0,0,57,57,57,57,0,3.5e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,160,55,0.03,4.85714,km1,12824,1795,12852,168,170,119,57,0.00018804,0.059283,0.000600292,0,0,0.000927663,0.0489661,0.00640275
Judicious-Increase,16,0-part_128-0.repeats.hgr,160,55,0.03,6.5,km1,28074,2358,28142,298,307,197,126,0.00020575,0.04002,0.00113345,0,0,0.000553612,0.0293172,0.00663196
Judicious-Increase,16,0-part_128-s.repeats.hgr,160,55,0.03,3.5,km1,17730,588,17730,126,126,0,126,0.000164501,0.0116557,0.000188611,0,0,7.559e-05,0.0076768,0.00272954
Judicious-Increase,16,0-part_128-l.repeats.hgr,160,55,0.03,1.26316,km1,46613,4303,46777,452,523,410,126,0.00017556,0.180232,0.00824975,0,0,0.00114286,0.14503,0.0154742
Judicious-Increase,16,0-part_404-s.repeats.hgr,160,55,0.03,15,km1,62616,1039,62750,453,486,402,402,0.000601532,0.10115,0.00174605,0,0,0.000760892,0.0718758,0.0183105
